id,state,lga,edited-ward
1,Abia,Aba north,Ariaria Market
2,Abia,Aba north,Eziama
3,Abia,Aba north,Industrial Area
4,Abia,Aba north,Ogbor I
5,Abia,Aba north,Ogbor II
6,Abia,Aba north,Old Aba Gra
7,Abia,Aba north,Osusu I
8,Abia,Aba north,Osusu II
9,Abia,Aba north,St. Eugenes By Okigwe Rd
10,Abia,Aba north,Umuogor
11,Abia,Aba north,Umuola
12,Abia,Aba north,Uratta
13,Abia,Aba south,Aba RIVer
14,Abia,Aba south,Aba Town Hall
15,Abia,Aba south,Asa
16,Abia,Aba south,Ekeoha
17,Abia,Aba south,Enyimba
18,Abia,Aba south,Eziukwu
19,Abia,Aba south,Gloucester
20,Abia,Aba south,Igwebuike
21,Abia,Aba south,Mosque
22,Abia,Aba south,Ngwa
23,Abia,Aba south,Ohazu I
24,Abia,Aba south,Ohazu II
25,Abia,Arochukwu,Arochukwu I
26,Abia,Arochukwu,Arochukwu II
27,Abia,Arochukwu,Arochukwu III
28,Abia,Arochukwu,Eleoha Ihechiowa
29,Abia,Arochukwu,Ikwun Ihechiowa
30,Abia,Arochukwu,Isu
31,Abia,Arochukwu,Ohaeke
32,Abia,Arochukwu,Ohafor I
33,Abia,Arochukwu,Ohafor II
34,Abia,Arochukwu,Ovukwu
35,Abia,Arochukwu,Ututu
36,Abia,Bende,Amankalu/Akoliufu
37,Abia,Bende,Bende
38,Abia,Bende,Igbere A
39,Abia,Bende,Igbere B
40,Abia,Bende,Item A
41,Abia,Bende,Item B
42,Abia,Bende,Item C
43,Abia,Bende,Itumbauzo
44,Abia,Bende,Ozuitem
45,Abia,Bende,Ugwueke/Ezeukwu
46,Abia,Bende,Umu - Imenyi
47,Abia,Bende,Umuhu / Ezechi
48,Abia,Bende,Uzuakoli
49,Abia,Ikwuano,Ariam
50,Abia,Ikwuano,Ibere I
51,Abia,Ikwuano,Ibere II
52,Abia,Ikwuano,Oboro I
53,Abia,Ikwuano,Oboro II
54,Abia,Ikwuano,Oboro III
55,Abia,Ikwuano,Oboro IV
56,Abia,Ikwuano,Oloko I
57,Abia,Ikwuano,Oloko II
58,Abia,Ikwuano,Usaka
59,Abia,Isiala ngwa north,Amapu Ntigha
60,Abia,Isiala ngwa north,Amasaa Nsulu
61,Abia,Isiala ngwa north,Amasaa Ntigha
62,Abia,Isiala ngwa north,Ihie
63,Abia,Isiala ngwa north,Isiala Nsulu
64,Abia,Isiala ngwa north,Mbawsi / Umuomainta
65,Abia,Isiala ngwa north,Ngwa Ukwu I
66,Abia,Isiala ngwa north,Ngwa Ukwu II
67,Abia,Isiala ngwa north,Umunna Nsulu
68,Abia,Isiala ngwa north,Umuoha
69,Abia,Isiala ngwa south,Akunekpu Eziama Na Obuba
70,Abia,Isiala ngwa south,Amaise / Amaise Anaba
71,Abia,Isiala ngwa south,Ehina Guru Osokwa
72,Abia,Isiala ngwa south,Mbutu Ngwa
73,Abia,Isiala ngwa south,Mbutu Ukwu
74,Abia,Isiala ngwa south,Ngwaobi
75,Abia,Isiala ngwa south,Okporo Ahaba
76,Abia,Isiala ngwa south,Omoba
77,Abia,Isiala ngwa south,Ovungwu
78,Abia,Isiala ngwa south,Ovuokwu
79,Abia,Isuikwuato,Achara / Mgbugwu
80,Abia,Isuikwuato,Ezere
81,Abia,Isuikwuato,Ikeagha I
82,Abia,Isuikwuato,Ikeagha II
83,Abia,Isuikwuato,Imenyi
84,Abia,Isuikwuato,Isiala Amawu
85,Abia,Isuikwuato,Isu Amawu
86,Abia,Isuikwuato,Ogunduasa
87,Abia,Isuikwuato,Umuanyi / Absu
88,Abia,Isuikwuato,Umunnekwu
89,Abia,Obingwa,Abayi  I
90,Abia,Obingwa,Abayi  II
91,Abia,Obingwa,Ahiaba
92,Abia,Obingwa,Akumaimo
93,Abia,Obingwa,Alaukwu Ohanze
94,Abia,Obingwa,Ibeme
95,Abia,Obingwa,Maboko Amairi
96,Abia,Obingwa,Mgboko Itungwa
97,Abia,Obingwa,Mgboko Umuanunu
98,Abia,Obingwa,Ndiarata / Amairinabua
99,Abia,Obingwa,Ntighauzo Amairi
100,Abia,Ohafia,Agboji Abiriba
101,Abia,Ohafia,Amaeke Abiriba
102,Abia,Ohafia,Amaogudu Abiriba
103,Abia,Ohafia,Ania Ohoafia
104,Abia,Ohafia,Ebem Ohafia
105,Abia,Ohafia,Isiama Ohafia
106,Abia,Ohafia,Ndi Agbo Nkporo
107,Abia,Ohafia,Ndi Elu Nkporo
108,Abia,Ohafia,Ndi Etiti Nkporo
109,Abia,Ohafia,Ohafor Ohoafia
110,Abia,Ohafia,Okanu Ohoafia
111,Abia,Osisioma,Ama - Asaa
112,Abia,Osisioma,Amaitolu Mbutu Umuojima
113,Abia,Osisioma,Amasator
114,Abia,Osisioma,Amator
115,Abia,Osisioma,Amavo
116,Abia,Osisioma,Aro - Ngwa
117,Abia,Osisioma,Okpor - Umuobo
118,Abia,Osisioma,Oso - Okwa
119,Abia,Osisioma,Umunneise
120,Abia,Osisioma,Urtta
121,Abia,Ugwunagbo,Ward Eight
122,Abia,Ugwunagbo,Ward FIVe
123,Abia,Ugwunagbo,Ward Four
124,Abia,Ugwunagbo,Ward Nine
125,Abia,Ugwunagbo,Ward One
126,Abia,Ugwunagbo,Ward Seven
127,Abia,Ugwunagbo,Ward Six
128,Abia,Ugwunagbo,Ward Ten
129,Abia,Ugwunagbo,Ward Three
130,Abia,Ugwunagbo,Ward Two
131,Abia,Ukwa  west,Asa North
132,Abia,Ukwa  west,Asa South
133,Abia,Ukwa  west,Ipu   South
134,Abia,Ukwa  west,Ipu  East
135,Abia,Ukwa  west,Ipu West
136,Abia,Ukwa  west,Obokwe
137,Abia,Ukwa  west,Obuzor
138,Abia,Ukwa  west,Ogwe
139,Abia,Ukwa  west,Ozaa  West
140,Abia,Ukwa  west,Ozaa Ukwu
141,Abia,Ukwa east,Akwete
142,Abia,Ukwa east,Azumini
143,Abia,Ukwa east,Ikwueke  West
144,Abia,Ukwa east,Ikwueke East
145,Abia,Ukwa east,Ikwuorie
146,Abia,Ukwa east,Ikwuriator East
147,Abia,Ukwa east,Ikwuriator West
148,Abia,Ukwa east,Nkporobe/Ohuru
149,Abia,Ukwa east,Obohia
150,Abia,Ukwa east,Umuigube Achara
151,Abia,Umu - nneochi,Amuda
152,Abia,Umu - nneochi,Eziama - Agbo
153,Abia,Umu - nneochi,Eziama - Ugwu
154,Abia,Umu - nneochi,Ezingodo
155,Abia,Umu - nneochi,Mbala/Achara
156,Abia,Umu - nneochi,Ndiawa/Umuelem/I
157,Abia,Umu - nneochi,Obinolu/Obiagu/La
158,Abia,Umu - nneochi,Ubahu/Akawa/Arokpa
159,Abia,Umu - nneochi,Umuaku
160,Abia,Umu - nneochi,Umuchieze  I
161,Abia,Umu - nneochi,Umuchieze  II
162,Abia,Umu - nneochi,Umuchieze  III
163,Abia,Umuahia  south,Ahiaukwu  I
164,Abia,Umuahia  south,Ahiaukwu  II
165,Abia,Umuahia  south,Amakama
166,Abia,Umuahia  south,Ezeleke/Ogbodiukwu
167,Abia,Umuahia  south,Nsirimo
168,Abia,Umuahia  south,Ohiaocha
169,Abia,Umuahia  south,Old Umuahia
170,Abia,Umuahia  south,Omaegwu
171,Abia,Umuahia  south,Ubakala  A
172,Abia,Umuahia  south,Ubakala  B
173,Abia,Umuahia north,Afugiri
174,Abia,Umuahia north,Ibeku East  I
175,Abia,Umuahia north,Ibeku East  II
176,Abia,Umuahia north,Ibeku West
177,Abia,Umuahia north,Isingwu
178,Abia,Umuahia north,Ndume
179,Abia,Umuahia north,Nkwoachara
180,Abia,Umuahia north,Nkwoegwu
181,Abia,Umuahia north,Umuahia Urban  I
182,Abia,Umuahia north,Umuahia Urban  II
183,Abia,Umuahia north,Umuahia Urban  III
184,Abia,Umuahia north,Umuhu
185,Adamawa,Demsa,Bille
186,Adamawa,Demsa,Borrong
187,Adamawa,Demsa,Demsa
188,Adamawa,Demsa,Dilli
189,Adamawa,Demsa,Dong
190,Adamawa,Demsa,Dwam
191,Adamawa,Demsa,Gwamba
192,Adamawa,Demsa,Kpasham
193,Adamawa,Demsa,Mbula Kuli
194,Adamawa,Demsa,Nassarawo Demsa
195,Adamawa,Fufore,Beti
196,Adamawa,Fufore,Farang
197,Adamawa,Fufore,Fufore
198,Adamawa,Fufore,Gurin
199,Adamawa,Fufore,Karlahi
200,Adamawa,Fufore,Mayo Ine
201,Adamawa,Fufore,Pariya
202,Adamawa,Fufore,Ribadu
203,Adamawa,Fufore,Uki Tuki
204,Adamawa,Fufore,Wuro Bokki
205,Adamawa,Fufore,Yadim
206,Adamawa,Ganye,Bakari Guso
207,Adamawa,Ganye,Gamu
208,Adamawa,Ganye,Ganye I
209,Adamawa,Ganye,Ganye II
210,Adamawa,Ganye,Gurum
211,Adamawa,Ganye,Jaggu
212,Adamawa,Ganye,Sangasumi
213,Adamawa,Ganye,Sugu
214,Adamawa,Ganye,Timdore
215,Adamawa,Ganye,Yebbi
216,Adamawa,Gire 1,Dakri
217,Adamawa,Gire 1,Damare
218,Adamawa,Gire 1,Gerei I
219,Adamawa,Gire 1,Gereng
220,Adamawa,Gire 1,Girei  II
221,Adamawa,Gire 1,Jera Bakari
222,Adamawa,Gire 1,Jera Bonyo
223,Adamawa,Gire 1,Modire/ Vinikilang
224,Adamawa,Gire 1,Tambo
225,Adamawa,Gire 1,Wuro Dole
226,Adamawa,Gombi,Boga/ Dingai
227,Adamawa,Gombi,Duwa
228,Adamawa,Gombi,GaAnda
229,Adamawa,Gombi,Gabun
230,Adamawa,Gombi,Garkida
231,Adamawa,Gombi,Gombi North
232,Adamawa,Gombi,Gombi South
233,Adamawa,Gombi,Guyaku
234,Adamawa,Gombi,Tawa
235,Adamawa,Gombi,Yang
236,Adamawa,Guyuk,Banjiram
237,Adamawa,Guyuk,Bobini
238,Adamawa,Guyuk,Bodeno
239,Adamawa,Guyuk,Chikila
240,Adamawa,Guyuk,Dukul
241,Adamawa,Guyuk,Dumna
242,Adamawa,Guyuk,Guyuk
243,Adamawa,Guyuk,Kola
244,Adamawa,Guyuk,Lokoro
245,Adamawa,Guyuk,Purokayo
246,Adamawa,Hong,Bangshika
247,Adamawa,Hong,Daksiri
248,Adamawa,Hong,Garaha
249,Adamawa,Hong,Gaya
250,Adamawa,Hong,Hildi
251,Adamawa,Hong,Hong
252,Adamawa,Hong,Hushere Zum
253,Adamawa,Hong,Kwarhi
254,Adamawa,Hong,Mayo Lope
255,Adamawa,Hong,Shangui
256,Adamawa,Hong,Thilbang
257,Adamawa,Hong,Uba
258,Adamawa,Jada,Danaba
259,Adamawa,Jada,Jada I
260,Adamawa,Jada,Jada II
261,Adamawa,Jada,Koma I
262,Adamawa,Jada,Koma II
263,Adamawa,Jada,Leko
264,Adamawa,Jada,Mapeo
265,Adamawa,Jada,Mayokalaye
266,Adamawa,Jada,Mbulo
267,Adamawa,Jada,Nyibango
268,Adamawa,Jada,Yelli
269,Adamawa,Lamurde,Dubwangun
270,Adamawa,Lamurde,Gyawana
271,Adamawa,Lamurde,Lafiya
272,Adamawa,Lamurde,Lamurde
273,Adamawa,Lamurde,Mgbebongun
274,Adamawa,Lamurde,Ngbakowo
275,Adamawa,Lamurde,Opalo
276,Adamawa,Lamurde,Rigange
277,Adamawa,Lamurde,Suwa
278,Adamawa,Lamurde,Waduku
279,Adamawa,Madagali,Babel
280,Adamawa,Madagali,Duhu/ Shuwa
281,Adamawa,Madagali,Gulak
282,Adamawa,Madagali,Hyambula
283,Adamawa,Madagali,K/Wuro Ngayandi
284,Adamawa,Madagali,Madagali
285,Adamawa,Madagali,Pallam
286,Adamawa,Madagali,Shelmi / Sukur/ Vapura
287,Adamawa,Madagali,Wagga
288,Adamawa,Madagali,Wula
289,Adamawa,Maiha,Belel
290,Adamawa,Maiha,Humbutudi
291,Adamawa,Maiha,Konkol
292,Adamawa,Maiha,Maiha Gari
293,Adamawa,Maiha,Manjekin
294,Adamawa,Maiha,Mayonguli
295,Adamawa,Maiha,Pakka
296,Adamawa,Maiha,Sorau A
297,Adamawa,Maiha,Sorau B
298,Adamawa,Maiha,Tambajam
299,Adamawa,Mayo - belwa,Bajama
300,Adamawa,Mayo - belwa,Binyeri
301,Adamawa,Mayo - belwa,Gangfada
302,Adamawa,Mayo - belwa,Gengle
303,Adamawa,Mayo - belwa,Gorobi
304,Adamawa,Mayo - belwa,Mayo Farang
305,Adamawa,Mayo - belwa,Mayo-Belwa
306,Adamawa,Mayo - belwa,Nassarawo Jereng
307,Adamawa,Mayo - belwa,Ndikong
308,Adamawa,Mayo - belwa,Ribadu
309,Adamawa,Mayo - belwa,Tola
310,Adamawa,Mayo - belwa,Yoffo
311,Adamawa,Michika,Bazza Margi
312,Adamawa,Michika,Futudou / Futules
313,Adamawa,Michika,Garta / Ghunchi
314,Adamawa,Michika,Jigalambu
315,Adamawa,Michika,Madzi
316,Adamawa,Michika,Michika  I
317,Adamawa,Michika,Michika  II
318,Adamawa,Michika,Minkisi/ Wuro Ngiki
319,Adamawa,Michika,Moda / Dlaka / Ghenjuwa
320,Adamawa,Michika,Munkavicita
321,Adamawa,Michika,Sina / Kamale / Kwande
322,Adamawa,Michika,Sukumu / Tillijo
323,Adamawa,Michika,Thukudou / Sufuku / Zah
324,Adamawa,Michika,Tumbara / Ngabili
325,Adamawa,Michika,Vi / Boka
326,Adamawa,Michika,Wamblimi / Tilli
327,Adamawa,Mubi north,Bahuli
328,Adamawa,Mubi north,Betso
329,Adamawa,Mubi north,Digil
330,Adamawa,Mubi north,Kolere
331,Adamawa,Mubi north,Lokuwa
332,Adamawa,Mubi north,Mayo Bani
333,Adamawa,Mubi north,Mijilu
334,Adamawa,Mubi north,Muchalla
335,Adamawa,Mubi north,Sabon Layi
336,Adamawa,Mubi north,Vimtim
337,Adamawa,Mubi north,Yelwa
338,Adamawa,Mubi south,Dirbishi/Gandira
339,Adamawa,Mubi south,Duvu/ Chaba/ Girburum
340,Adamawa,Mubi south,Gella
341,Adamawa,Mubi south,Gude
342,Adamawa,Mubi south,Kwaja
343,Adamawa,Mubi south,Lamorde
344,Adamawa,Mubi south,Mugulbu/ Yadafa
345,Adamawa,Mubi south,Mujara
346,Adamawa,Mubi south,Nassarawo
347,Adamawa,Mubi south,Nduku
348,Adamawa,Numan,Bare
349,Adamawa,Numan,Bolki
350,Adamawa,Numan,Gamadio
351,Adamawa,Numan,Imburu
352,Adamawa,Numan,Kodomti
353,Adamawa,Numan,Numan I
354,Adamawa,Numan,Numan II
355,Adamawa,Numan,Numan III
356,Adamawa,Numan,Sabon Pegi
357,Adamawa,Numan,Vulpi
358,Adamawa,Shelleng,Bakta
359,Adamawa,Shelleng,Bodwai
360,Adamawa,Shelleng,Gundo
361,Adamawa,Shelleng,Gwapopolok
362,Adamawa,Shelleng,Jumbul
363,Adamawa,Shelleng,Ketembere
364,Adamawa,Shelleng,Kiri
365,Adamawa,Shelleng,Libbo
366,Adamawa,Shelleng,Shelleng
367,Adamawa,Shelleng,Tallum
368,Adamawa,Song,Dirma
369,Adamawa,Song,Dumne
370,Adamawa,Song,Gudu Mboi
371,Adamawa,Song,Kilange Funa
372,Adamawa,Song,Kilange Hirna
373,Adamawa,Song,Sigire
374,Adamawa,Song,Song Gari
375,Adamawa,Song,Song Waje
376,Adamawa,Song,Suktu
377,Adamawa,Song,Waltandi
378,Adamawa,Song,Zumo
379,Adamawa,Toungo,Dawo I
380,Adamawa,Toungo,Dawo II
381,Adamawa,Toungo,Gumti
382,Adamawa,Toungo,Kiri I
383,Adamawa,Toungo,Kiri II
384,Adamawa,Toungo,Kongin Baba I
385,Adamawa,Toungo,Kongin Baba II
386,Adamawa,Toungo,Toungo I
387,Adamawa,Toungo,Toungo II
388,Adamawa,Toungo,Toungo III
389,Adamawa,Yola north,Ajiya
390,Adamawa,Yola north,Alkalawa
391,Adamawa,Yola north,Doubeli
392,Adamawa,Yola north,Gwadabawa
393,Adamawa,Yola north,Jambutu
394,Adamawa,Yola north,Karena
395,Adamawa,Yola north,Limawa
396,Adamawa,Yola north,Luggere
397,Adamawa,Yola north,Nassarawo
398,Adamawa,Yola north,Rumde
399,Adamawa,Yola north,Yelwa
400,Adamawa,Yola south,Adarawo
401,Adamawa,Yola south,Bako
402,Adamawa,Yola south,Bole Yolde Pate
403,Adamawa,Yola south,Makama A
404,Adamawa,Yola south,Makama B
405,Adamawa,Yola south,Mbamba
406,Adamawa,Yola south,Mbamoi
407,Adamawa,Yola south,Namtari
408,Adamawa,Yola south,Ngurore
409,Adamawa,Yola south,Toungo
410,Adamawa,Yola south,Yolde Kohi
411,Akwa ibom,Abak,Abak Urban 1
412,Akwa ibom,Abak,Abak Urban 11
413,Akwa ibom,Abak,Abak Urban 111
414,Akwa ibom,Abak,Abak Urban 1V
415,Akwa ibom,Abak,Afaha Obong 1
416,Akwa ibom,Abak,Afaha Obong 11
417,Akwa ibom,Abak,Midim 1
418,Akwa ibom,Abak,Midim 11
419,Akwa ibom,Abak,Otoro 1
420,Akwa ibom,Abak,Otoro 11
421,Akwa ibom,Abak,Otoro 111
422,Akwa ibom,Eastern obolo,Eastern Obolo 1
423,Akwa ibom,Eastern obolo,Eastern Obolo 11
424,Akwa ibom,Eastern obolo,Eastern Obolo 111
425,Akwa ibom,Eastern obolo,Eastern Obolo 1V
426,Akwa ibom,Eastern obolo,Eastern Obolo Ix
427,Akwa ibom,Eastern obolo,Eastern Obolo V
428,Akwa ibom,Eastern obolo,Eastern Obolo V1
429,Akwa ibom,Eastern obolo,Eastern Obolo V11
430,Akwa ibom,Eastern obolo,Eastern Obolo V111
431,Akwa ibom,Eastern obolo,Eastern Obolo X
432,Akwa ibom,Eket,Central 1
433,Akwa ibom,Eket,Central 11
434,Akwa ibom,Eket,Central 111
435,Akwa ibom,Eket,Central 1V
436,Akwa ibom,Eket,Central V
437,Akwa ibom,Eket,Okon 1
438,Akwa ibom,Eket,Okon 11
439,Akwa ibom,Eket,Urban 1
440,Akwa ibom,Eket,Urban 11
441,Akwa ibom,Eket,Urban 111
442,Akwa ibom,Eket,Urban 1V
443,Akwa ibom,Esit eket (uquo),Akpautong
444,Akwa ibom,Esit eket (uquo),Ebe Ekpi
445,Akwa ibom,Esit eket (uquo),Ebighi Okpono
446,Akwa ibom,Esit eket (uquo),Edor
447,Akwa ibom,Esit eket (uquo),Ekpene Obo
448,Akwa ibom,Esit eket (uquo),Etebi Akwata
449,Akwa ibom,Esit eket (uquo),Etebi Idung Assan
450,Akwa ibom,Esit eket (uquo),Ikpa
451,Akwa ibom,Esit eket (uquo),Ntak Inyang
452,Akwa ibom,Esit eket (uquo),Uquo
453,Akwa ibom,Essien udim,Adiasim
454,Akwa ibom,Essien udim,Afaha
455,Akwa ibom,Essien udim,Ekpeyong 1
456,Akwa ibom,Essien udim,Ekpeyong 11
457,Akwa ibom,Essien udim,Ikpe Annang
458,Akwa ibom,Essien udim,Odoro Ikot 1
459,Akwa ibom,Essien udim,Odoro Ikot 11
460,Akwa ibom,Essien udim,Okon
461,Akwa ibom,Essien udim,Ukana East
462,Akwa ibom,Essien udim,Ukana West 1
463,Akwa ibom,Essien udim,Ukana West 11
464,Akwa ibom,Etim ekpo,Etim Ekpo 1
465,Akwa ibom,Etim ekpo,Etim Ekpo 11
466,Akwa ibom,Etim ekpo,Etim Ekpo 111
467,Akwa ibom,Etim ekpo,Etim Ekpo 1V
468,Akwa ibom,Etim ekpo,Etim Ekpo Ix
469,Akwa ibom,Etim ekpo,Etim Ekpo V
470,Akwa ibom,Etim ekpo,Etim Ekpo V1
471,Akwa ibom,Etim ekpo,Etim Ekpo V11
472,Akwa ibom,Etim ekpo,Etim Ekpo V111
473,Akwa ibom,Etim ekpo,Etim Ekpo X
474,Akwa ibom,Etinan,Etinan Urban 1
475,Akwa ibom,Etinan,Etinan Urban 11
476,Akwa ibom,Etinan,Etinan Urban 111
477,Akwa ibom,Etinan,Etinan Urban 1V
478,Akwa ibom,Etinan,Etinan Urban V
479,Akwa ibom,Etinan,Northern Iman 1
480,Akwa ibom,Etinan,Northern Iman 11
481,Akwa ibom,Etinan,Southern Iman 1
482,Akwa ibom,Etinan,Southern Iman 11
483,Akwa ibom,Etinan,Southern Iman 111
484,Akwa ibom,Etinan,Southern Iman 1V
485,Akwa ibom,Ibeno,Ibeno 1
486,Akwa ibom,Ibeno,Ibeno 11
487,Akwa ibom,Ibeno,Ibeno 111
488,Akwa ibom,Ibeno,Ibeno 1V
489,Akwa ibom,Ibeno,Ibeno Ix
490,Akwa ibom,Ibeno,Ibeno V
491,Akwa ibom,Ibeno,Ibeno V11
492,Akwa ibom,Ibeno,Ibeno V111
493,Akwa ibom,Ibeno,Ibeno Vi
494,Akwa ibom,Ibeno,Ibeno X
495,Akwa ibom,Ibesikpo asutan,Asutan 1
496,Akwa ibom,Ibesikpo asutan,Asutan 11
497,Akwa ibom,Ibesikpo asutan,Asutan 111
498,Akwa ibom,Ibesikpo asutan,Asutan 1V
499,Akwa ibom,Ibesikpo asutan,Asutan V
500,Akwa ibom,Ibesikpo asutan,Ibesikpo 1
501,Akwa ibom,Ibesikpo asutan,Ibesikpo 11
502,Akwa ibom,Ibesikpo asutan,Ibesikpo 111
503,Akwa ibom,Ibesikpo asutan,Ibesikpo 1V
504,Akwa ibom,Ibesikpo asutan,Ibesikpo V
505,Akwa ibom,Ibiono ibom,Ibiono Central 1
506,Akwa ibom,Ibiono ibom,Ibiono Central 11
507,Akwa ibom,Ibiono ibom,Ibiono Eastern 1
508,Akwa ibom,Ibiono ibom,Ibiono Eastern 11
509,Akwa ibom,Ibiono ibom,Ibiono Northern 1
510,Akwa ibom,Ibiono ibom,Ibiono Northern 11
511,Akwa ibom,Ibiono ibom,Ibiono Southern 1
512,Akwa ibom,Ibiono ibom,Ibiono Southern 11
513,Akwa ibom,Ibiono ibom,Ibiono Western 1
514,Akwa ibom,Ibiono ibom,Ibiono Western 11
515,Akwa ibom,Ibiono ibom,Ikpanya
516,Akwa ibom,Ika,Achan  11
517,Akwa ibom,Ika,Achan  111
518,Akwa ibom,Ika,Achan Ika
519,Akwa ibom,Ika,Ito 1
520,Akwa ibom,Ika,Ito 11
521,Akwa ibom,Ika,Ito 111
522,Akwa ibom,Ika,Odoro 1
523,Akwa ibom,Ika,Odoro 11
524,Akwa ibom,Ika,Urban 1
525,Akwa ibom,Ika,Urban 11
526,Akwa ibom,Ikono,1Tak
527,Akwa ibom,Ikono,Ediene 1
528,Akwa ibom,Ikono,Ediene 11
529,Akwa ibom,Ikono,Ikono Middle 1
530,Akwa ibom,Ikono,Ikono Middle 11
531,Akwa ibom,Ikono,Ikono Middle 111
532,Akwa ibom,Ikono,Ikono Middle 1V
533,Akwa ibom,Ikono,Ikono South
534,Akwa ibom,Ikono,Ndiya/Ikot Idana
535,Akwa ibom,Ikono,Nkwot 1
536,Akwa ibom,Ikono,Nkwot 11
537,Akwa ibom,Ikot abasi,Edemaya 1
538,Akwa ibom,Ikot abasi,Edemaya 11
539,Akwa ibom,Ikot abasi,Edemaya 111
540,Akwa ibom,Ikot abasi,Ikpa Ibekwe 1
541,Akwa ibom,Ikot abasi,Ikpa Ibekwe 11
542,Akwa ibom,Ikot abasi,Ikpa Nung Asang 1
543,Akwa ibom,Ikot abasi,Ikpa Nung Asang 11
544,Akwa ibom,Ikot abasi,Ukpum Ete 1
545,Akwa ibom,Ikot abasi,Ukpum Ete 11
546,Akwa ibom,Ikot abasi,Ukpum Okon
547,Akwa ibom,Ikot ekpene,Ikot Ekpene 1
548,Akwa ibom,Ikot ekpene,Ikot Ekpene 11
549,Akwa ibom,Ikot ekpene,Ikot Ekpene 111
550,Akwa ibom,Ikot ekpene,Ikot Ekpene 1V
551,Akwa ibom,Ikot ekpene,Ikot Ekpene Ix
552,Akwa ibom,Ikot ekpene,Ikot Ekpene V
553,Akwa ibom,Ikot ekpene,Ikot Ekpene V1
554,Akwa ibom,Ikot ekpene,Ikot Ekpene V11
555,Akwa ibom,Ikot ekpene,Ikot Ekpene V111
556,Akwa ibom,Ikot ekpene,Ikot Ekpene X
557,Akwa ibom,Ikot ekpene,Ikot Ekpene X1
558,Akwa ibom,Ini,Ikono North 1
559,Akwa ibom,Ini,Ikono North 11
560,Akwa ibom,Ini,Ikono North 111
561,Akwa ibom,Ini,Ikpe 1
562,Akwa ibom,Ini,Ikpe 11
563,Akwa ibom,Ini,Itu Mbonuso
564,Akwa ibom,Ini,Iwerre
565,Akwa ibom,Ini,Nkari
566,Akwa ibom,Ini,Odoro Ukwok
567,Akwa ibom,Ini,Usuk  Ukwok
568,Akwa ibom,Itu,East Itam 1
569,Akwa ibom,Itu,East Itam 11
570,Akwa ibom,Itu,East Itam 111
571,Akwa ibom,Itu,East Itam 1V
572,Akwa ibom,Itu,East Itam V
573,Akwa ibom,Itu,Mbiase/Ayadehe
574,Akwa ibom,Itu,Oku Iboku
575,Akwa ibom,Itu,West Itam 1
576,Akwa ibom,Itu,West Itam 11
577,Akwa ibom,Itu,West Itam 111
578,Akwa ibom,Mbo,Ebughu 1
579,Akwa ibom,Mbo,Ebughu 11
580,Akwa ibom,Mbo,Efiat 1
581,Akwa ibom,Mbo,Efiat 11
582,Akwa ibom,Mbo,Enwang 1
583,Akwa ibom,Mbo,Enwang 11
584,Akwa ibom,Mbo,Ibaka
585,Akwa ibom,Mbo,Uda 1
586,Akwa ibom,Mbo,Uda 11
587,Akwa ibom,Mbo,Udesi
588,Akwa ibom,Mkpat enin,Ibiaku 1
589,Akwa ibom,Mkpat enin,Ibiaku 11
590,Akwa ibom,Mkpat enin,Ibiaku 111
591,Akwa ibom,Mkpat enin,Ikpa Ibom 1
592,Akwa ibom,Mkpat enin,Ikpa Ibom 11
593,Akwa ibom,Mkpat enin,Ikpa Ibom 111
594,Akwa ibom,Mkpat enin,Ikpa Ibom 1V
595,Akwa ibom,Mkpat enin,Ikpa Ikono 1
596,Akwa ibom,Mkpat enin,Ikpa Ikono 11
597,Akwa ibom,Mkpat enin,Ikpa Ikono 111
598,Akwa ibom,Mkpat enin,Ukpum Minya 1
599,Akwa ibom,Mkpat enin,Ukpum Minya 11
600,Akwa ibom,Mkpat enin,Ukpum Minya 111
601,Akwa ibom,Mkpat enin,Ukpum Minya 1V
602,Akwa ibom,Nsit atai,Eastern Nsit 1
603,Akwa ibom,Nsit atai,Eastern Nsit 11
604,Akwa ibom,Nsit atai,Eastern Nsit 111
605,Akwa ibom,Nsit atai,Eastern Nsit 1V
606,Akwa ibom,Nsit atai,Eastern Nsit Ix
607,Akwa ibom,Nsit atai,Eastern Nsit V
608,Akwa ibom,Nsit atai,Eastern Nsit V1
609,Akwa ibom,Nsit atai,Eastern Nsit V11
610,Akwa ibom,Nsit atai,Eastern Nsit V111
611,Akwa ibom,Nsit atai,Eastern Nsit X
612,Akwa ibom,Nsit ibom,Asang 1
613,Akwa ibom,Nsit ibom,Asang 11
614,Akwa ibom,Nsit ibom,Asang 111
615,Akwa ibom,Nsit ibom,Asang 1V
616,Akwa ibom,Nsit ibom,Asang V
617,Akwa ibom,Nsit ibom,Mbaiso 1
618,Akwa ibom,Nsit ibom,Mbaiso 11
619,Akwa ibom,Nsit ibom,Mbaiso 111
620,Akwa ibom,Nsit ibom,Mbaiso 1V
621,Akwa ibom,Nsit ibom,Mbaiso V
622,Akwa ibom,Nsit ubium,Ibiakpan Obotim 1
623,Akwa ibom,Nsit ubium,Ibiakpan/Obotim 11
624,Akwa ibom,Nsit ubium,Itreto
625,Akwa ibom,Nsit ubium,Ndiya
626,Akwa ibom,Nsit ubium,Ubium North 1
627,Akwa ibom,Nsit ubium,Ubium North 11
628,Akwa ibom,Nsit ubium,Ubium North 111
